Date,Reference No.,Customer,Sale Employee,Total (MYR),Rounding (MYR),Sale Total (MYR),Received (MYR),Tax (MYR),Tax Received (MYR),Charge (MYR),Net Received (MYR),Cash (MYR),Card (MYR),Others (MYR),Credit (MYR),Due (MYR),Remark,,Cash (MYR),Card (MYR),Cheque (MYR),Installment (MYR),Others (MYR),FOC (MYR)
6/1/2021,IN00302,5b7ebb21,c8d2f331,190,0,190,190,0,0,0,190,10,180,0,0,0,Sale,,10,180,0,0,0,0
6/1/2021,IN00303,e63cd014,fabcad3f,190,0,190,190,0,0,0,190,10,0,180,0,0,Sale,,10,0,0,0,180,0
6/1/2021,,e3b0c442,6a777e0f,380,0,380,380,0,0,0,380,20,180,180,0,,,,20,180,0,0,180,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
7/10/2021,IN00009,7268cfe9,547b42da,580,0,580,580,0,0,0,580,580,0,0,0,0,Sale,,580,0,0,0,0,0
7/10/2021,,e3b0c442,6a777e0f,580,0,580,580,0,0,0,580,580,0,0,0,,,,580,0,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
9/10/2021,IN00128,6d1c8396,fabcad3f,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,760
9/10/2021,IN00084,84b560ce,fabcad3f,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,620
9/10/2021,IN00010,49241555,fabcad3f,2724,0,2724,2724,0,0,0,2724,224,0,2500,0,0,Sale,,224,0,0,0,2500,0
9/10/2021,,e3b0c442,6a777e0f,2724,0,2724,2724,0,0,0,2724,224,0,2500,0,,,,224,0,0,0,2500,1380
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
10/10/2021,IN00011,49241555,fabcad3f,490,0,490,490,0,0,0,490,490,0,0,0,0,Sale,,490,0,0,0,0,0
10/10/2021,IN00024,977a458f,547b42da,190,0,190,190,0,0,0,190,0,0,190,0,0,Sale,,0,0,0,0,190,0
10/10/2021,,e3b0c442,6a777e0f,680,0,680,680,0,0,0,680,490,0,190,0,,,,490,0,0,0,190,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
11/10/2021,IN00012,ba304abb,4cf89708,380,0,380,380,0,0,0,380,0,0,380,0,0,Sale,,0,0,0,0,380,0
11/10/2021,,e3b0c442,6a777e0f,380,0,380,380,0,0,0,380,0,0,380,0,,,,0,0,0,0,380,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
12/10/2021,IN00014,5ccf9e36,547b42da,2150,0,2150,2150,0,0,0,2150,0,0,2150,0,0,Sale,,0,0,0,0,2150,0
12/10/2021,IN00016,3fce6ca1,547b42da,2090,0,2090,2090,0,0,0,2090,0,2090,0,0,0,Sale,,0,2090,0,0,0,0
12/10/2021,IN00115,5ccf9e36,547b42da,2150,0,2150,2150,0,0,0,2150,0,2150,0,0,0,Sale,,0,2150,0,0,0,2800
12/10/2021,IN00018,1e91cd66,fabcad3f,854,0,854,854,0,0,0,854,0,854,0,0,0,Sale,,0,854,0,0,0,280
12/10/2021,,e3b0c442,6a777e0f,7244,0,7244,7244,0,0,0,7244,0,5094,2150,0,,,,0,5094,0,0,2150,3080
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
14/10/2021,IN00015,81f33993,4cf89708,240,0,240,240,0,0,0,240,0,240,0,0,0,Sale,,0,240,0,0,0,0
14/10/2021,IN00017,da6e5f15,547b42da,2150,0,2150,2150,0,0,0,2150,0,0,2150,0,0,Sale,,0,0,0,0,2150,0
14/10/2021,,e3b0c442,6a777e0f,2390,0,2390,2390,0,0,0,2390,0,240,2150,0,,,,0,240,0,0,2150,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
15/10/2021,IN00019,81f33993,4cf89708,2400,0,2400,2400,0,0,0,2400,0,2400,0,0,0,Sale,,0,2400,0,0,0,0
15/10/2021,,e3b0c442,6a777e0f,2400,0,2400,2400,0,0,0,2400,0,2400,0,0,,,,0,2400,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
16/10/2021,IN00028,8980b8ab,fabcad3f,190,0,190,190,0,0,0,190,0,190,0,0,0,Sale,,0,190,0,0,0,280
16/10/2021,,e3b0c442,6a777e0f,190,0,190,190,0,0,0,190,0,190,0,0,,,,0,190,0,0,0,280
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
17/10/2021,IN00027,ba304abb,4cf89708,1900,0,1900,1900,0,0,0,1900,0,1900,0,0,0,Sale,,0,1900,0,0,0,0
17/10/2021,IN00031,ba304abb,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
17/10/2021,IN00032,ba304abb,4cf89708,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
17/10/2021,IN00033,ba304abb,c5f2d4d1,306,0,306,306,0,0,0,306,0,306,0,0,0,Sale,,0,306,0,0,0,0
17/10/2021,,e3b0c442,6a777e0f,2206,0,2206,2206,0,0,0,2206,0,2206,0,0,,,,0,2206,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
19/10/2021,IN00020,0dec9db4,fabcad3f,3530,0,3530,3530,0,0,0,3530,0,3530,0,0,0,Sale,,0,3530,0,0,0,280
19/10/2021,IN00021,099beeb6,fabcad3f,2378,0,2378,1378,0,0,0,1378,0,1378,0,0,1000,Sale,,0,1378,0,0,0,280
19/10/2021,,e3b0c442,6a777e0f,5908,0,5908,4908,0,0,0,4908,0,4908,0,0,,,,0,4908,0,0,0,560
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
20/10/2021,IN00116,5ccf9e36,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
20/10/2021,,e3b0c442,6a777e0f,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
21/10/2021,IN00022,5d06bd51,4cf89708,360,0,360,360,0,0,0,360,360,0,0,0,0,Sale,,360,0,0,0,0,0
21/10/2021,,e3b0c442,6a777e0f,360,0,360,360,0,0,0,360,360,0,0,0,,,,360,0,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
22/10/2021,IN00029,942a1fa5,c5f2d4d1,2650,0,2650,2650,0,0,0,2650,0,2650,0,0,0,Sale,,0,2650,0,0,0,272
22/10/2021,,e3b0c442,6a777e0f,2650,0,2650,2650,0,0,0,2650,0,2650,0,0,,,,0,2650,0,0,0,272
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
25/10/2021,IN00023,113db563,4cf89708,1128,0,1128,1128,0,0,0,1128,0,1128,0,0,0,Sale,,0,1128,0,0,0,0
25/10/2021,IN00025,cfc3ee24,4cf89708,340,0,340,340,0,0,0,340,0,340,0,0,0,Sale,,0,340,0,0,0,0
25/10/2021,IN00026,5bff78f8,4cf89708,190,0,190,190,0,0,0,190,0,190,0,0,0,Sale,,0,190,0,0,0,0
25/10/2021,IN00081,bc6a6290,547b42da,190,0,190,190,0,0,0,190,0,190,0,0,0,Sale,,0,190,0,0,0,280
25/10/2021,IN00083,14aa568e,fabcad3f,240,0,240,240,0,0,0,240,240,0,0,0,0,Sale,,240,0,0,0,0,280
25/10/2021,,e3b0c442,6a777e0f,2088,0,2088,2088,0,0,0,2088,240,1848,0,0,,,,240,1848,0,0,0,560
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
26/10/2021,IN00030,113db563,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
26/10/2021,IN00034,113db563,547b42da,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
26/10/2021,IN00035,113db563,e30dc4f8,23708,0,23708,3888,0,0,0,3888,0,3888,0,0,19820,Sale,,0,3888,0,0,0,0
26/10/2021,,e3b0c442,6a777e0f,23708,0,23708,3888,0,0,0,3888,0,3888,0,0,,,,0,3888,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
29/10/2021,IN00036,c0b5f784,547b42da,2246,0,2246,2246,0,0,0,2246,0,2246,0,0,0,Sale,,0,2246,0,0,0,324
29/10/2021,IN00093,2bc88a2e,c8d2f331,240,0,240,240,0,0,0,240,0,240,0,0,0,Sale,,0,240,0,0,0,280
29/10/2021,,e3b0c442,6a777e0f,2486,0,2486,2486,0,0,0,2486,0,2486,0,0,,,,0,2486,0,0,0,604
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
30/10/2021,IN00038,a7e769c6,4cf89708,794,0,794,794,0,0,0,794,0,794,0,0,0,Sale,,0,794,0,0,0,176
30/10/2021,IN00037,b5e50dc5,547b42da,1434,0,1434,1434,0,0,0,1434,0,1434,0,0,0,Sale,,0,1434,0,0,0,0
30/10/2021,,e3b0c442,6a777e0f,2228,0,2228,2228,0,0,0,2228,0,2228,0,0,,,,0,2228,0,0,0,176
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
31/10/2021,IN00039,099beeb6,fabcad3f,288,0,288,288,0,0,0,288,0,288,0,0,0,Sale,,0,288,0,0,0,0
31/10/2021,IN00047,113db563,19f716ba,12376,0,12376,6376,0,0,0,6376,0,6376,0,0,6000,Sale,,0,6376,0,0,0,0
31/10/2021,IN00124,099beeb6,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
31/10/2021,IN00094,113db563,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
31/10/2021,IN00040,8605a168,c8d2f331,1540,0,1540,700,0,0,0,700,0,700,0,0,840,Sale,,0,700,0,0,0,1400
31/10/2021,IN00091,7c25c40f,c8d2f331,240,0,240,100,0,0,0,100,100,0,0,0,140,Sale,,100,0,0,0,0,280
31/10/2021,IN00183,8605a168,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
31/10/2021,,e3b0c442,6a777e0f,14444,0,14444,7464,0,0,0,7464,100,7364,0,0,,,,100,7364,0,0,0,1680
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
2/11/2021,IN00092,7c25c40f,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
2/11/2021,IN00045,793cc905,c8d2f331,290,0,290,290,0,0,0,290,290,0,0,0,0,Sale,,290,0,0,0,0,205
2/11/2021,,e3b0c442,6a777e0f,290,0,290,290,0,0,0,290,290,0,0,0,,,,290,0,0,0,0,205
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
3/11/2021,IN00041,7c25c40f,c8d2f331,140,0,140,140,0,0,0,140,0,140,0,0,0,Sale,,0,140,0,0,0,0
3/11/2021,,e3b0c442,6a777e0f,140,0,140,140,0,0,0,140,0,140,0,0,,,,0,140,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
4/11/2021,IN00048,b7401179,4cf89708,380,0,380,380,0,0,0,380,0,380,0,0,0,Sale,,0,380,0,0,0,0
4/11/2021,IN00125,b7401179,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
4/11/2021,,e3b0c442,6a777e0f,380,0,380,380,0,0,0,380,0,380,0,0,,,,0,380,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
5/11/2021,IN00053,0bb53aca,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,300
5/11/2021,IN00080,1e91cd66,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
5/11/2021,IN00197,1e4c2705,7196ebc9,90,0,90,90,0,0,0,90,0,90,0,0,0,Sale,,0,90,0,0,0,0
5/11/2021,,e3b0c442,6a777e0f,90,0,90,90,0,0,0,90,0,90,0,0,,,,0,90,0,0,0,300
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
6/11/2021,IN00163,af27d3c8,547b42da,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
6/11/2021,IN00075,fdcf2383,4cf89708,288,0,288,288,0,0,0,288,0,0,288,0,0,Sale,,0,0,0,0,288,0
6/11/2021,,e3b0c442,6a777e0f,288,0,288,288,0,0,0,288,0,0,288,0,,,,0,0,0,0,288,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
7/11/2021,IN00108,113db563,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
7/11/2021,IN00063,ba304abb,4cf89708,288,0,288,288,0,0,0,288,0,288,0,0,0,Sale,,0,288,0,0,0,111
7/11/2021,IN00065,ba304abb,4cf89708,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,280
7/11/2021,IN00043,07b2e70e,fabcad3f,4288,0,4288,4288,0,0,0,4288,4288,0,0,0,0,Sale,,4288,0,0,0,0,0
7/11/2021,IN00051,42c4ba85,547b42da,198,0,198,198,0,0,0,198,198,0,0,0,0,Sale,,198,0,0,0,0,0
7/11/2021,IN00052,42c4ba85,547b42da,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,300
7/11/2021,IN00109,07b2e70e,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
7/11/2021,IN00085,6d1c8396,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,380
7/11/2021,,e3b0c442,6a777e0f,4774,0,4774,4774,0,0,0,4774,4486,288,0,0,,,,4486,288,0,0,0,1071
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
8/11/2021,IN00050,429756ff,4cf89708,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
8/11/2021,IN00044,5fd11273,fabcad3f,1330,0,1330,490,0,0,0,490,490,0,0,0,840,Sale,,490,0,0,0,0,380
8/11/2021,IN00049,a50114db,4cf89708,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
8/11/2021,IN00055,a50114db,e3b0c442,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
8/11/2021,,e3b0c442,6a777e0f,1627,0,1627,787,0,0,0,787,787,0,0,0,,,,787,0,0,0,0,380
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
9/11/2021,IN00042,0dfade07,ecda7423,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,44
9/11/2021,IN00087,07b2e70e,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
9/11/2021,IN00054,429756ff,e3b0c442,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
9/11/2021,IN00046,07b2e70e,fabcad3f,268,0,268,268,0,0,0,268,268,0,0,0,0,Sale,,268,0,0,0,0,0
9/11/2021,,e3b0c442,6a777e0f,367,0,367,367,0,0,0,367,367,0,0,0,,,,367,0,0,0,0,44
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
10/11/2021,IN00066,3411662b,4cf89708,4000,0,4000,1000,0,0,0,1000,1000,0,0,0,3000,Sale,,1000,0,0,0,0,198
10/11/2021,,e3b0c442,6a777e0f,4000,0,4000,1000,0,0,0,1000,1000,0,0,0,,,,1000,0,0,0,0,198
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
11/11/2021,IN00062,9975b667,4cf89708,60,0,60,60,0,0,0,60,0,60,0,0,0,Sale,,0,60,0,0,0,300
11/11/2021,IN00159,da6e5f15,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
11/11/2021,IN00056,da6e5f15,547b42da,198,0,198,198,0,0,0,198,0,198,0,0,0,Sale,,0,198,0,0,0,0
11/11/2021,IN00058,084a8571,4cf89708,99,0,99,99,0,0,0,99,0,99,0,0,0,Sale,,0,99,0,0,0,0
11/11/2021,IN00057,a25b1671,547b42da,99,0,99,99,0,0,0,99,0,99,0,0,0,Sale,,0,99,0,0,0,0
11/11/2021,IN00069,2e2640a2,c8d2f331,288,0,288,288,0,0,0,288,0,0,288,0,0,Sale,,0,0,0,0,288,0
11/11/2021,IN00061,4afd809c,4cf89708,99,0,99,99,0,0,0,99,0,99,0,0,0,Sale,,0,99,0,0,0,300
11/11/2021,IN00067,161c0bb8,fabcad3f,189,0,189,189,0,0,0,189,0,189,0,0,0,Sale,,0,189,0,0,0,300
11/11/2021,IN00070,388a723d,c8d2f331,190,0,190,190,0,0,0,190,0,190,0,0,0,Sale,,0,190,0,0,0,11
11/11/2021,IN00175,388a723d,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
11/11/2021,IN00060,942a1fa5,4b31d727,549,0,549,549,0,0,0,549,0,549,0,0,0,Sale,,0,549,0,0,0,99
11/11/2021,IN00059,b6e1d81d,4cf89708,649,0,649,649,0,0,0,649,0,649,0,0,0,Sale,,0,649,0,0,0,88
11/11/2021,IN00064,ba304abb,4cf89708,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,99
11/11/2021,IN00068,fce5c98b,fabcad3f,60,0,60,60,0,0,0,60,0,60,0,0,0,Sale,,0,60,0,0,0,300
11/11/2021,,e3b0c442,6a777e0f,2480,0,2480,2480,0,0,0,2480,0,2192,288,0,,,,0,2192,0,0,288,1497
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
12/11/2021,IN00158,da6e5f15,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
12/11/2021,,3411662b,4cf89708,0,0,0,0,0,0,0,0,0,0,0,0,1000,Payment TK00067: IN00066,,0,0,0,0,0,0
12/11/2021,IN00071,dd76ce00,547b42da,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,111
12/11/2021,IN00072,dd76ce00,89003dbd,1128,0,1128,1128,0,0,0,1128,0,1128,0,0,0,Sale,,0,1128,0,0,0,380
12/11/2021,IN00073,49241555,fabcad3f,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,100
12/11/2021,IN00074,49241555,8745c55f,168,0,168,168,0,0,0,168,168,0,0,0,0,Sale,,168,0,0,0,0,0
12/11/2021,,e3b0c442,6a777e0f,1296,0,1296,1296,0,0,0,1296,168,1128,0,0,,,,168,1128,0,0,0,591
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
13/11/2021,IN00176,07b2e70e,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
13/11/2021,IN00079,17e47f82,5695f355,198,0,198,198,0,0,0,198,0,198,0,0,0,Sale,,0,198,0,0,0,0
13/11/2021,IN00082,0dec9db4,faf80c20,70,0,70,70,0,0,0,70,70,0,0,0,0,Sale,,70,0,0,0,0,0
13/11/2021,IN00098,fdcf2383,4cf89708,2500,0,2500,1000,0,0,0,1000,0,1000,0,0,1500,Sale,,0,1000,0,0,0,0
13/11/2021,IN00126,fdcf2383,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
13/11/2021,IN00133,3411662b,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
13/11/2021,IN00160,17e47f82,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
13/11/2021,IN00193,3411662b,7196ebc9,100,0,100,100,0,0,0,100,0,100,0,0,0,Sale,,0,100,0,0,0,0
13/11/2021,IN00151,9a9be74a,fabcad3f,240,0,240,240,0,0,0,240,0,0,240,0,0,Sale,,0,0,0,0,240,0
13/11/2021,,e3b0c442,6a777e0f,3108,0,3108,1608,0,0,0,1608,70,1298,240,0,,,,70,1298,0,0,240,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
14/11/2021,IN00076,6395a4ba,4cf89708,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
14/11/2021,IN00077,968704b8,fabcad3f,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
14/11/2021,IN00110,968704b8,fabcad3f,99,0,99,99,0,0,0,99,99,0,0,0,0,Sale,,99,0,0,0,0,0
14/11/2021,IN00089,84b560ce,c8d2f331,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,8000
14/11/2021,IN00174,84b560ce,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
14/11/2021,IN00096,b0cee562,547b42da,2500,0,2500,2500,0,0,0,2500,0,2500,0,0,0,Sale,,0,2500,0,0,0,0
14/11/2021,IN00097,20acb8e6,547b42da,2500,0,2500,2500,0,0,0,2500,0,2500,0,0,0,Sale,,0,2500,0,0,0,0
14/11/2021,IN00104,161c0bb8,7196ebc9,810,0,810,300,0,0,0,300,0,300,0,0,510,Sale,,0,300,0,0,0,360
14/11/2021,IN00105,161c0bb8,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
14/11/2021,IN00078,38d14ab3,c8d2f331,278,0,278,278,0,0,0,278,0,278,0,0,0,Sale,,0,278,0,0,0,0
14/11/2021,,e3b0c442,6a777e0f,6385,0,6385,5875,0,0,0,5875,297,5578,0,0,,,,297,5578,0,0,0,8360
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
16/11/2021,IN00164,b6e1d81d,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
16/11/2021,,e3b0c442,6a777e0f,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
17/11/2021,IN00090,84b560ce,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
17/11/2021,IN00088,084a8571,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
17/11/2021,IN00095,a5c50f74,547b42da,288,0,288,288,0,0,0,288,0,288,0,0,0,Sale,,0,288,0,0,0,0
17/11/2021,IN00134,3411662b,e3b0c442,0,0,0,0,0,0,0,0,0,0,0,0,0,Sale,,0,0,0,0,0,0
17/11/2021,,e3b0c442,6a777e0f,288,0,288,288,0,0,0,288,0,288,0,0,,,,0,288,0,0,0,0
,,e3b0c442,e3b0c442,,,,,,,,,,,,,,,,,,,,,
